=== env ===
GPU0=NVIDIA H20 cap=9.0  SMS=78  canAccessPeer0->1=1  NVpeak=478.1 GB/s (18x26.562)
peer access 0->1 OK
correctness remote store-only: mismatches=0 OK

cfg   pay     dst   sms   nw      A   U     GB/s      %nvl   inst/w  notes
-----------------------------------------------------------------------------------------------
C1    so      nvl     1    1     32   1     20.7      4.3%   1.0000  1w store-only
C1    so      nvl     1    1     32   4     50.3     10.5%   1.0000  1w store-only
C1    so      nvl     1    1     32   8     50.6     10.6%   1.0000  1w store-only
C1    so      nvl     1    1     32  16     50.6     10.6%   1.0000  1w store-only
C1    so      nvl     1    1     32  32     50.6     10.6%   1.0000  1w store-only
C1    cp      nvl     1    1     32   1      1.3      0.3%   1.0000  1w copy
C1    cp      nvl     1    1     32   8      4.8      1.0%   1.0000  1w copy
C1    cp      nvl     1    1     32  32      4.8      1.0%   1.0000  1w copy
C2    so      nvl     1    4    128   1     50.6     10.6%   0.2500  4w 1subcore so
C2    so      nvl     1    4    128   4     50.6     10.6%   0.2500  4w 1subcore so
C2    so      nvl     1    4    128   8     50.6     10.6%   0.2500  4w 1subcore so
C2    so      nvl     1    4    128  16     50.6     10.6%   0.2500  4w 1subcore so
C2    so      nvl     1    4    128  32     50.6     10.6%   0.2500  4w 1subcore so
C2    cp      nvl     1    4    128   1      5.0      1.1%   0.2500  4w 1subcore cp
C2    cp      nvl     1    4    128   8     18.3      3.8%   0.2500  4w 1subcore cp
C2    cp      nvl     1    4    128  32     18.4      3.9%   0.2500  4w 1subcore cp
C3    so      nvl     1    4    128   1     50.6     10.6%   0.2500  4subcore so
C3    so      nvl     1    4    128   4     50.6     10.6%   0.2500  4subcore so
C3    so      nvl     1    4    128   8     50.6     10.6%   0.2500  4subcore so
C3    so      nvl     1    4    128  16     50.6     10.6%   0.2500  4subcore so
C3    so      nvl     1    4    128  32     50.6     10.6%   0.2500  4subcore so
C3    cp      nvl     1    4    128   1      5.0      1.1%   0.2500  4subcore cp
C3    cp      nvl     1    4    128   8     18.3      3.8%   0.2500  4subcore cp
C3    cp      nvl     1    4    128  32     18.5      3.9%   0.2500  4subcore cp
C4    so      nvl     2    8    256   8    101.3     21.2%   0.1250  4w/blk U8
C4    so      nvl     4   16    512   8    202.4     42.3%   0.0625  4w/blk U8
C4    so      nvl     8   32   1024   8    309.5     64.7%   0.0312  4w/blk U8
C4    so      nvl    16   64   2048   8    373.7     78.2%   0.0156  4w/blk U8
C4    so      nvl    32  128   4096   8    373.1     78.0%   0.0078  4w/blk U8
C4    so      nvl    78  312   9984   8    367.3     76.8%   0.0032  4w/blk U8
C4    so      nvl     2   64   2048   8    101.3     21.2%   0.0156  32w/blk U8
C4    so      nvl     4  128   4096   8    202.5     42.4%   0.0078  32w/blk U8
C4    so      nvl     8  256   8192   8    314.4     65.8%   0.0039  32w/blk U8
C4    so      nvl    16  512  16384   8    373.4     78.1%   0.0020  32w/blk U8
C4    so      nvl    32 1024  32768   8    373.0     78.0%   0.0010  32w/blk U8
C4    so      nvl    78 2496  79872   8    364.5     76.2%   0.0004  32w/blk U8
C4    so      nvl     2    8    256   1    101.3     21.2%   0.1250  4w/blk U1
C4    so      nvl     8   32   1024   1    312.4     65.3%   0.0312  4w/blk U1
C4    so      nvl    78  312   9984   1    363.0     75.9%   0.0032  4w/blk U1
C1    so      loc     1    1     32  32     63.3      0.0%   1.0000  local 1w U32
C2    so      loc     1    4    128  32     63.3      0.0%   0.2500  local 4w1sub U32
C3    so      loc     1    4    128  32     63.3      0.0%   0.2500  local 4sub U32
C4    so      loc     2    8    256   8    126.6      0.0%   0.1250  local 4w/blk U8
C4    so      loc     4   16    512   8    253.2      0.0%   0.0625  local 4w/blk U8
C4    so      loc     8   32   1024   8    505.9      0.0%   0.0312  local 4w/blk U8
C4    so      loc    16   64   2048   8   1010.4      0.0%   0.0156  local 4w/blk U8
C4    so      loc    32  128   4096   8   2011.5      0.0%   0.0078  local 4w/blk U8
C4    so      loc    78  312   9984   8   3011.2      0.0%   0.0032  local 4w/blk U8

NVpeak=478.1 GB/s. %nvl only meaningful for remote. inst/w = 32/A (per-warp iterations vs C1).
done.
